Dataset,Avg Attributes/Entity,Pct Entities w/Attributes,Avg Relations/Object
TIIF-Bench,0.3459932392125671,29.170809306025053,0.6693842380857692
T2I-CompBench++,0.35162162162162164,31.513513513513512,0.43635135135135134
GenAI-Bench,0.2995805871779509,25.97363690832834,0.7541941282204914
GenEval,0.3048855905998763,29.74644403215832,0.4186765615337044
GenEval2,0.4190547078526237,40.37960550800149,0.5150725716412355
LongT2IBench,0.3693078324225865,30.075461878740565,0.8002732240437158
GECKONUM,0.18193018480492812,18.069815195071868,0.31457905544147846
Ours,0.474500100989699,37.79539486972329,0.8637144011310847
