id,permutation,image1_file,image2_file,model_1,model_2,model_1_count,model_2_count,tie_count,survey_pref_model1,eval_score_model1,eval_score_model2,eval_pref_model1,pickscore_score_model1,pickscore_score_model2,pickscore_pref_model1,vqa_score_model1,vqa_score_model2,vqa_pref_model1,dsg_score_model1,dsg_score_model2,dsg_pref_model1,tit_score_score_model1,tit_score_score_model2,tit_score_pref_model1,imagereward_score_model1,imagereward_score_model2,imagereward_pref_model1
1321,V1-S2-V3,1321-3.png,1321-5.png,qwen-image,sd15,0,0,0,0.5,0.8,0.8,0.5,0.22561156749725342,0.193338081240654,0.5385171420406054,0.8241847157478333,0.5310928225517273,0.6081298423804185,0.2,0.2,0.5,,,,1.0308492183685303,-0.31257981061935425,0.7930532784484385
1321,V1-V2-V3,1321-3.png,1321-5.png,qwen-image,sd15,0,0,0,0.5,0.7555555555555556,0.6444444444444445,0.5396825396825397,0.22561156749725342,0.193338081240654,0.5385171420406054,0.8241847157478333,0.5310928225517273,0.6081298423804185,0.2,0.2,0.5,,,,1.0308492183685303,-0.31257981061935425,0.7930532784484385
2635,V1-S2-V3,2635-2.png,2635-1.png,sdxl,z-image,0,3,1,0.125,0.16666666666666666,0.5,0.25,0.22101081907749176,0.2275109589099884,0.4927538191549329,0.7795612215995789,0.9348363876342773,0.4547143657928661,0.0,0.1111111111111111,0.0,,,,0.22385543584823608,0.33033162355422974,0.4039347943086238
2635,V1-V2-V3,2635-2.png,2635-1.png,sdxl,z-image,0,3,1,0.125,0.3333333333333333,0.5,0.4,0.22101081907749176,0.2275109589099884,0.4927538191549329,0.7795612215995789,0.9348363876342773,0.4547143657928661,0.0,0.1111111111111111,0.0,,,,0.22385543584823608,0.33033162355422974,0.4039347943086238
0851,V1-S2-V3,0851-5.png,0851-2.png,qwen-image,sdxl,3,1,0,0.75,1.0,0.41666666666666663,0.7058823529411765,0.22111499309539795,0.21812811493873596,0.5034000284831218,0.9612202644348145,0.9230431318283081,0.5101305190883131,0.5454545454545454,0.45454545454545453,0.5454545454545454,,,,0.3869117796421051,-0.4151516854763031,0.6904157032067385
0851,V1-V2-V3,0851-5.png,0851-2.png,qwen-image,sdxl,3,1,0,0.75,1.0,0.5000000000000001,0.6666666666666666,0.22111499309539795,0.21812811493873596,0.5034000284831218,0.9612202644348145,0.9230431318283081,0.5101305190883131,0.5454545454545454,0.45454545454545453,0.5454545454545454,,,,0.3869117796421051,-0.4151516854763031,0.6904157032067385
0126,V1-S2-V3,0126-3.png,0126-4.png,flux,sdxl,0,0,0,0.5,1.0,0.7333333333333334,0.5769230769230769,0.2365836799144745,0.2396349310874939,0.4967963755484067,0.9712460041046143,0.42674675583839417,0.6947432289593608,0.4444444444444444,0.4444444444444444,0.5,,,,1.8026026487350464,1.136637806892395,0.6132885947741366
0126,V1-V2-V3,0126-3.png,0126-4.png,flux,sdxl,0,0,0,0.5,1.0,0.7333333333333334,0.5769230769230769,0.2365836799144745,0.2396349310874939,0.4967963755484067,0.9712460041046143,0.42674675583839417,0.6947432289593608,0.4444444444444444,0.4444444444444444,0.5,,,,1.8026026487350464,1.136637806892395,0.6132885947741366
2477,V1-S2-V3,2477-4.png,2477-2.png,sdxl,flux,1,3,0,0.25,1.0,1.0,0.5,0.2310052365064621,0.225185364484787,0.5063787723914404,0.9712453484535217,0.9038645625114441,0.5179671563645574,0.2857142857142857,0.2857142857142857,0.5,,,,0.7725796699523926,-0.3914526402950287,0.7620646343619757
2477,V1-V2-V3,2477-4.png,2477-2.png,sdxl,flux,1,3,0,0.25,1.0,1.0,0.5,0.2310052365064621,0.225185364484787,0.5063787723914404,0.9712453484535217,0.9038645625114441,0.5179671563645574,0.2857142857142857,0.2857142857142857,0.5,,,,0.7725796699523926,-0.3914526402950287,0.7620646343619757
2808,V1-S2-V3,2808-3.png,2808-1.png,sd15,sdxl,0,1,1,0.25,0.7083333333333333,0.75,0.4857142857142857,0.1921006143093109,0.20217078924179077,0.48722938711534697,0.8620529770851135,0.9348366260528564,0.4797473231408768,0.36363636363636365,0.45454545454545453,0.4444444444444445,,,,-0.35381367802619934,0.16207949817180634,0.37381304680727623
2808,V1-V2-V3,2808-3.png,2808-1.png,sd15,sdxl,0,1,1,0.25,0.7500000000000001,0.8333333333333334,0.4736842105263158,0.1921006143093109,0.20217078924179077,0.48722938711534697,0.8620529770851135,0.9348366260528564,0.4797473231408768,0.36363636363636365,0.45454545454545453,0.4444444444444445,,,,-0.35381367802619934,0.16207949817180634,0.37381304680727623
0659,V1-S2-V3,0659-1.png,0659-1.png,flux,sd15,1,0,0,1.0,0.8333333333333333,0.7,0.5434782608695652,0.215586856007576,0.20298424363136292,0.5150543269555449,0.927108883857727,0.788750171661377,0.5403176215876577,0.08333333333333333,0.08333333333333333,0.5,,,,0.4470709264278412,-1.5587215423583984,0.8814039098248568
0659,V1-V2-V3,0659-1.png,0659-1.png,flux,sd15,1,0,0,1.0,0.8055555555555556,0.55,0.5942622950819672,0.215586856007576,0.20298424363136292,0.5150543269555449,0.927108883857727,0.788750171661377,0.5403176215876577,0.08333333333333333,0.08333333333333333,0.5,,,,0.4470709264278412,-1.5587215423583984,0.8814039098248568
0130,V1-S2-V3,0130-4.png,0130-5.png,sd15,sdxl,0,4,1,0.1,0.41666666666666663,0.08333333333333333,0.8333333333333334,0.18175306916236877,0.2306157648563385,0.4407536510242757,0.26705145835876465,0.8396196961402893,0.241310580178308,0.14285714285714285,0.35714285714285715,0.2857142857142857,,,,-1.9933850765228271,0.11202695965766907,0.10857191170704387
0130,V1-V2-V3,0130-4.png,0130-5.png,sd15,sdxl,0,4,1,0.1,0.2777777777777778,0.05555555555555556,0.8333333333333333,0.18175306916236877,0.2306157648563385,0.4407536510242757,0.26705145835876465,0.8396196961402893,0.241310580178308,0.14285714285714285,0.35714285714285715,0.2857142857142857,,,,-1.9933850765228271,0.11202695965766907,0.10857191170704387
2480,V1-S2-V3,2480-4.png,2480-2.png,flux,sd15,2,0,0,1.0,0.8333333333333333,0.0,1.0,0.21949873864650726,0.19921454787254333,0.5242220529262344,0.9348358511924744,0.5653470754623413,0.6231479072202342,0.4,0.2,0.6666666666666666,,,,0.331771582365036,-1.9356887340545654,0.9061460220084775
2480,V1-V2-V3,2480-4.png,2480-2.png,flux,sd15,2,0,0,1.0,0.888888888888889,0.0,1.0,0.21949873864650726,0.19921454787254333,0.5242220529262344,0.9348358511924744,0.5653470754623413,0.6231479072202342,0.4,0.2,0.6666666666666666,,,,0.331771582365036,-1.9356887340545654,0.9061460220084775
1254,V1-S2-V3,1254-5.png,1254-5.png,sdxl,flux,0,4,0,0.0,0.5,0.5,0.5,0.22241465747356415,0.22968871891498566,0.491955311748026,0.8241845965385437,0.9230433106422424,0.47170983999929045,0.18181818181818182,0.2727272727272727,0.4,,,,0.7036145925521851,1.494947075843811,0.32003404892687
1254,V1-V2-V3,1254-5.png,1254-5.png,sdxl,flux,0,4,0,0.0,0.33333333333333337,0.4444444444444445,0.42857142857142855,0.22241465747356415,0.22968871891498566,0.491955311748026,0.8241845965385437,0.9230433106422424,0.47170983999929045,0.18181818181818182,0.2727272727272727,0.4,,,,0.7036145925521851,1.494947075843811,0.32003404892687
1338,V1-S2-V3,1338-5.png,1338-1.png,qwen-image,flux,2,2,1,0.5,1.0,0.4666666666666667,0.6818181818181818,0.2401132881641388,0.2428714781999588,0.4971446407548383,0.824178159236908,0.7287613749504089,0.5307213456113191,0.1,0.1,0.5,,,,-0.4294392466545105,-0.02901267632842064,0.4012098560987279
1338,V1-V2-V3,1338-5.png,1338-1.png,qwen-image,flux,2,2,1,0.5,0.888888888888889,0.6444444444444446,0.5797101449275361,0.2401132881641388,0.2428714781999588,0.4971446407548383,0.824178159236908,0.7287613749504089,0.5307213456113191,0.1,0.1,0.5,,,,-0.4294392466545105,-0.02901267632842064,0.4012098560987279
0346,V1-S2-V3,0346-4.png,0346-5.png,sdxl,sd15,2,0,2,0.75,0.41666666666666663,0.5833333333333333,0.4166666666666667,0.22474350035190582,0.21176855266094208,0.5148620726523007,0.43857720494270325,0.36501625180244446,0.5457700050459644,0.4,0.2,0.6666666666666666,,,,0.7022257447242737,0.3108355700969696,0.6931720069166621
0346,V1-V2-V3,0346-4.png,0346-5.png,sdxl,sd15,2,0,2,0.75,0.5833333333333334,0.38888888888888895,0.6,0.22474350035190582,0.21176855266094208,0.5148620726523007,0.43857720494270325,0.36501625180244446,0.5457700050459644,0.4,0.2,0.6666666666666666,,,,0.7022257447242737,0.3108355700969696,0.6931720069166621
0741,V1-S2-V3,0741-3.png,0741-5.png,flux,z-image,0,3,0,0.0,0.4166666666666667,0.5,0.45454545454545453,0.24198751151561737,0.22441965341567993,0.5188331777691765,0.21125517785549164,0.9271089434623718,0.1855778602815814,0.3076923076923077,0.46153846153846156,0.4,,,,1.1482714414596558,1.7106446027755737,0.40164573694811756
0741,V1-V2-V3,0741-3.png,0741-5.png,flux,z-image,0,3,0,0.0,0.44444444444444453,0.5,0.4705882352941177,0.24198751151561737,0.22441965341567993,0.5188331777691765,0.21125517785549164,0.9271089434623718,0.1855778602815814,0.3076923076923077,0.46153846153846156,0.4,,,,1.1482714414596558,1.7106446027755737,0.40164573694811756
1953,V1-S2-V3,1953-3.png,1953-5.png,sd15,sdxl,0,0,0,0.5,0.7333333333333334,1.0,0.4230769230769231,0.1972021460533142,0.21490895748138428,0.4785169444887582,0.18789398670196533,0.9271085858345032,0.1685143974820918,0.18181818181818182,0.2727272727272727,0.4,,,,-1.039428472518921,0.05949646607041359,0.2499413827219197
