Dataset,Avg Attributes/Entity,Pct Entities w/Attributes,Avg Relations/Object
TIIF-Bench,0.989986974926734,70.73428850537285,0.466867469879518
TIIF-Bench (long),1.0382845477821605,68.17175281987406,0.491765275759463
DPGBench,1.1801101392938127,75.1484720872476,0.4935752078609221
T2I-CompBench++,1.2938906752411576,92.491961414791,0.3469453376205788
GenAI-Bench,1.0484125592001403,79.28433608138923,0.525521838273987
GenEval,1.202127659574468,98.72340425531917,0.599290780141844
GenEval2,1.4281867145421905,99.23698384201076,0.4824955116696588
LongT2IBench,0.9905526134346532,71.73705752050112,0.4641982190796133
GECKONUM,1.1217788861180382,96.17622610141314,0.2073981712385702
Ours,1.2286705755653944,82.07490726337203,0.5218978102189781
