id,image1_file,image2_file,model_1,model_2,model_1_count,model_2_count,tie_count,survey_pref_model1,eval_score_model1,eval_score_model2,eval_pref_model1,dsg_score_model1,dsg_score_model2,dsg_pref_model1,vqa_score_model1,vqa_score_model2,vqa_pref_model1
0823,0823-1.png,0823-5.png,qwen-image,sd15,1,0,0,1.0,0.6666666666666666,0.42222222222222217,0.6122448979591837,0.42857142857142855,0.42857142857142855,0.5,0.9612202644348145,0.9311915040016174,0.5079339922035064
1802,1802-3.png,1802-2.png,sdxl,flux,0,0,0,0.5,0.4355555555555556,0.4444444444444445,0.4949494949494949,0.09090909090909091,0.09090909090909091,0.5,0.6148786544799805,0.4489770233631134,0.5779718690101007
0241,0241-5.png,0241-3.png,z-image,sd15,2,0,0,1.0,0.5833333333333333,0.3333333333333333,0.6363636363636364,0.3,0.0,1.0,0.9633343815803528,0.13639654219150543,0.8759728045805129
2524,2524-4.png,2524-1.png,z-image,sdxl,4,0,0,1.0,0.6622222222222222,0.6666666666666666,0.4983277591973244,0.5,0.5,0.5,0.6381231546401978,0.748963475227356,0.4600456387508609
1467,1467-5.png,1467-3.png,z-image,qwen-image,0,1,2,0.3333333333333333,0.7644444444444444,0.8222222222222222,0.48179271708683474,0.4,0.5,0.4444444444444445,0.9417083859443665,0.9451637268066406,0.4990843733290338
0681,0681-1.png,0681-2.png,sdxl,sd15,1,0,0,1.0,0.39999999999999997,0.31111111111111106,0.5625,0.14285714285714285,0.0,1.0,0.4267471134662628,0.32719820737838745,0.5660186510451116
0132,0132-4.png,0132-4.png,sd15,flux,0,1,0,0.0,0.6166666666666666,0.9555555555555555,0.392226148409894,0.2,0.2,0.5,0.8241845965385437,0.8241845965385437,0.5
2014,2014-4.png,2014-4.png,qwen-image,flux,0,1,0,0.0,0.8666666666666668,0.8222222222222222,0.5131578947368421,0.25,0.25,0.5,0.9481684565544128,0.9481684565544128,0.5
2304,2304-4.png,2304-4.png,flux,sd15,3,0,0,1.0,0.68,0.3377777777777778,0.6681222707423581,0.2727272727272727,0.2727272727272727,0.5,0.13323673605918884,0.13323673605918884,0.5
0332,0332-4.png,0332-4.png,sdxl,z-image,0,3,0,0.0,0.4355555555555556,0.4133333333333333,0.5130890052356022,0.4,0.4,0.5,0.8816347718238831,0.8816347718238831,0.5
2244,2244-4.png,2244-2.png,qwen-image,z-image,0,0,1,0.5,0.75,0.6166666666666667,0.5487804878048781,0.0,0.0,0.5,0.8985844254493713,0.8933343291282654,0.5014649370424005
1198,1198-3.png,1198-1.png,qwen-image,sd15,5,0,0,1.0,0.6666666666666666,0.47777777777777775,0.5825242718446602,0.5,0.3333333333333333,0.6000000000000001,0.9758807420730591,0.8620520830154419,0.5309664905876351
2732,2732-2.png,2732-4.png,flux,qwen-image,0,0,3,0.5,0.9,0.8333333333333334,0.5192307692307693,0.3333333333333333,0.3333333333333333,0.5,0.9633339643478394,0.9612200856208801,0.5005491866354685
0515,0515-1.png,0515-5.png,qwen-image,z-image,2,0,4,0.6666666666666666,1.0,0.9866666666666667,0.5033557046979865,0.36363636363636365,0.36363636363636365,0.5,0.9744521975517273,0.956304669380188,0.5046995891824476
0353,0353-5.png,0353-3.png,flux,z-image,0,3,0,0.0,0.6733333333333333,0.6022222222222223,0.5278745644599303,0.3076923076923077,0.3076923076923077,0.5,0.8545094132423401,0.8396198153495789,0.5043944693360661
1457,1457-3.png,1457-2.png,sd15,sdxl,0,3,0,0.0,0.2833333333333333,0.3333333333333333,0.45945945945945943,0.125,0.25,0.3333333333333333,0.5415701270103455,0.7287627458572388,0.42632143005780276
2182,2182-2.png,2182-1.png,flux,sdxl,0,1,1,0.25,0.5999999999999999,0.6444444444444444,0.4821428571428571,0.25,0.25,0.5,0.11045736074447632,0.37513479590415955,0.2274694087046404
2879,2879-1.png,2879-2.png,z-image,flux,0,0,0,0.5,0.6666666666666666,0.6222222222222221,0.5172413793103449,0.42857142857142855,0.2857142857142857,0.6000000000000001,0.9311911463737488,0.3650161623954773,0.718396771931438
0307,0307-1.png,0307-5.png,z-image,qwen-image,1,0,1,0.75,1.0,0.9555555555555555,0.5113636363636364,0.375,0.375,0.5,0.9612203240394592,0.9481680393218994,0.5034179229768065
3047,3047-2.png,3047-2.png,sd15,qwen-image,0,3,0,0.0,0.5,0.5277777777777778,0.4864864864864865,0.2,0.2,0.5,0.7980479001998901,0.7980479001998901,0.5
1429,1429-4.png,1429-4.png,qwen-image,sdxl,0,2,0,0.0,0.8488888888888889,0.6911111111111112,0.5512265512265512,0.18181818181818182,0.18181818181818182,0.5,0.941708505153656,0.941708505153656,0.5
2694,2694-1.png,2694-2.png,flux,sdxl,3,0,0,1.0,0.8844444444444445,0.6377777777777778,0.5810218978102191,0.36363636363636365,0.36363636363636365,0.5,0.8545099496841431,0.8816348314285278,0.49218818555932853
1371,1371-3.png,1371-5.png,qwen-image,z-image,2,0,0,1.0,0.5388888888888888,0.5722222222222222,0.48499999999999993,0.25,0.25,0.5,0.7387943267822266,0.4168611764907837,0.6392859504323192
1577,1577-1.png,1577-2.png,flux,sdxl,3,0,0,1.0,0.9777777777777779,0.6333333333333333,0.6068965517241379,0.3333333333333333,0.3333333333333333,0.5,0.9811364412307739,0.6846085786819458,0.5890075788923461
